country,type,age of contact,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Luxembourg,all,70+,0.28,0.27,0.29,0.28,0.43,0.58,0.48,0.26,0.72,0.93,1.4,0.64,1.11,0.93,1.75
Luxembourg,physical,00-04,1.78,0.72,0.13,0.18,0.07,0.54,1.28,0.53,0.65,0.57,0.14,0.36,0.51,0.24,0.03
Luxembourg,physical,05-09,0.64,5.74,0.93,0.23,0.2,0.94,1.46,0.67,0.66,0.21,0.32,0.34,0.23,0.07,0.05
Luxembourg,physical,10-14,0.31,1.13,6.27,0.99,0.2,0.14,0.33,0.33,0.79,0.43,0.35,0.08,0.09,0.0,0.1
Luxembourg,physical,15-19,0.16,0.18,1.35,6.18,1.57,0.44,0.2,0.03,0.4,0.82,0.3,0.18,0.12,0.07,0.13
Luxembourg,physical,20-24,0.27,0.08,0.17,1.18,2.0,0.93,0.26,0.22,0.16,0.58,0.25,0.23,0.2,0.17,0.03
Luxembourg,physical,25-29,0.63,0.4,0.11,0.29,1.11,1.59,0.63,0.4,0.25,0.46,0.56,0.56,0.4,0.14,0.15
Luxembourg,physical,30-34,0.87,0.51,0.26,0.18,0.48,0.97,1.35,0.57,0.51,0.48,0.51,0.49,0.58,0.28,0.08
Luxembourg,physical,35-39,1.05,1.09,0.52,0.35,0.19,0.7,1.0,1.09,0.79,0.46,0.59,0.32,0.65,0.31,0.15
Luxembourg,physical,40-44,0.61,0.81,1.01,0.65,0.24,0.46,0.57,0.64,1.21,0.54,0.81,0.4,0.42,0.45,0.25
Luxembourg,physical,45-49,0.26,0.37,0.61,0.56,0.72,0.38,0.43,0.53,0.66,1.12,0.86,0.47,0.4,0.28,0.23
Luxembourg,physical,50-54,0.26,0.19,0.21,0.31,0.56,0.56,0.35,0.36,0.46,0.75,1.25,0.62,0.42,0.52,0.15
Luxembourg,physical,55-59,0.24,0.23,0.14,0.19,0.24,0.52,0.3,0.19,0.16,0.24,0.73,0.7,0.55,0.62,0.13
